Tm,W,L,W-L%,GB,RS,RA,pythW-L%,Date
NYM,15,7,0.682,--,98,65,0.679,2022-04-30
MIA,12,8,0.6,2.0,80,70,0.561,2022-04-30
PHI,11,11,0.5,4.0,100,88,0.558,2022-04-30
ATL,10,12,0.455,5.0,86,96,0.45,2022-04-30
WSN,7,16,0.304,8.5,84,123,0.332,2022-04-30
NYM,34,17,0.667,--,266,194,0.641,2022-05-31
ATL,23,27,0.46,10.5,207,223,0.466,2022-05-31
PHI,21,29,0.42,12.5,224,224,0.5,2022-05-31
MIA,19,27,0.413,12.5,184,180,0.51,2022-05-31
WSN,18,33,0.353,16.0,206,277,0.368,2022-05-31
NYM,47,29,0.618,--,366,309,0.577,2022-06-30
ATL,44,33,0.571,3.5,362,323,0.552,2022-06-30
PHI,40,37,0.519,7.5,370,330,0.552,2022-06-30
MIA,34,40,0.459,12.0,323,318,0.507,2022-06-30
WSN,29,49,0.372,19.0,315,424,0.367,2022-06-30
NYM,64,37,0.634,--,475,377,0.604,2022-07-31
ATL,62,41,0.602,3.0,486,406,0.582,2022-07-31
PHI,55,47,0.539,9.5,476,418,0.559,2022-07-31
MIA,47,55,0.461,17.5,406,440,0.463,2022-07-31
WSN,35,68,0.34,30.0,393,561,0.343,2022-07-31
NYM,83,48,0.634,--,612,485,0.605,2022-08-31
ATL,80,51,0.611,3.0,646,508,0.608,2022-08-31
PHI,73,58,0.557,10.0,621,541,0.563,2022-08-31
MIA,55,75,0.423,27.5,468,546,0.43,2022-08-31
WSN,44,86,0.338,38.5,485,701,0.338,2022-08-31
NYM,98,59,0.624,--,746,593,0.603,2022-09-30
ATL,98,59,0.624,--,769,587,0.621,2022-09-30
PHI,84,72,0.538,13.5,722,656,0.544,2022-09-30
MIA,65,92,0.414,33.0,561,659,0.427,2022-09-30
WSN,54,102,0.346,43.5,583,814,0.352,2022-09-30
NYM,101,61,0.623,--,772,606,0.609,2022-10-31
ATL,101,61,0.623,--,789,609,0.616,2022-10-31
PHI,87,75,0.537,14.0,747,685,0.54,2022-10-31
MIA,69,93,0.426,32.0,586,676,0.435,2022-10-31
WSN,55,107,0.34,46.0,603,855,0.345,2022-10-31
ATL,18,9,0.667,--,138,95,0.664,2023-04-30
NYM,15,12,0.556,3.0,122,114,0.531,2023-04-30
MIA,16,13,0.552,3.0,99,134,0.365,2023-04-30
PHI,15,14,0.517,4.0,126,130,0.486,2023-04-30
WSN,10,17,0.37,8.0,104,130,0.399,2023-04-30
ATL,33,23,0.589,--,282,224,0.604,2023-05-31
MIA,29,27,0.518,4.0,209,254,0.412,2023-05-31
NYM,29,27,0.518,4.0,249,257,0.486,2023-05-31
PHI,25,30,0.455,7.5,228,271,0.422,2023-05-31
WSN,24,32,0.429,9.0,240,268,0.45,2023-05-31
ATL,54,27,0.667,--,457,328,0.647,2023-06-30
MIA,48,35,0.578,7.0,338,350,0.484,2023-06-30
PHI,43,38,0.531,11.0,354,362,0.49,2023-06-30
NYM,36,46,0.439,18.5,364,383,0.477,2023-06-30
WSN,33,48,0.407,21.0,335,396,0.424,2023-06-30
ATL,67,37,0.644,--,584,436,0.631,2023-07-31
PHI,57,49,0.538,11.0,474,464,0.51,2023-07-31
MIA,57,50,0.533,11.5,438,461,0.477,2023-07-31
NYM,50,55,0.476,17.5,466,476,0.49,2023-07-31
WSN,45,62,0.421,23.5,461,553,0.418,2023-07-31
ATL,88,45,0.662,--,778,542,0.66,2023-08-31
PHI,74,59,0.556,14.0,650,577,0.554,2023-08-31
MIA,67,67,0.5,21.5,534,589,0.455,2023-08-31
WSN,62,73,0.459,27.0,581,688,0.423,2023-08-31
NYM,61,73,0.455,27.5,582,622,0.47,2023-08-31
ATL,104,57,0.646,--,938,706,0.627,2023-09-30
PHI,89,72,0.553,15.0,787,714,0.544,2023-09-30
MIA,84,76,0.525,19.5,668,720,0.466,2023-09-30
NYM,74,86,0.463,29.5,716,722,0.496,2023-09-30
WSN,70,91,0.435,34.0,690,836,0.413,2023-09-30
ATL,104,58,0.642,--,947,716,0.625,2023-10-31
PHI,90,72,0.556,14.0,796,715,0.549,2023-10-31
MIA,84,77,0.522,19.5,668,723,0.464,2023-10-31
NYM,74,87,0.46,29.5,717,731,0.491,2023-10-31
WSN,71,91,0.438,33.0,700,845,0.415,2023-10-31
